id,sii_reg_key_sale_id,sii_reg_key_purchase_id,tax_ids/tax_src_id,tax_ids/tax_dest_id
fp_nacional,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_intra,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p09,,
fp_extra,l10n_es_extra_reports.sii_reg_key_02,l10n_es_extra_reports.sii_reg_key_p13,,
fp_recargo,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_recargo_isp,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf1,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf2,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf7,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf9,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf15,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf18,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf19,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf19a,l10n_es_extra_reports.sii_reg_key_11,l10n_es_extra_reports.sii_reg_key_p12,,
fp_irpf195a,l10n_es_extra_reports.sii_reg_key_11,l10n_es_extra_reports.sii_reg_key_p12,,
fp_irpf20,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf24,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf20a,l10n_es_extra_reports.sii_reg_key_11,l10n_es_extra_reports.sii_reg_key_p12,,
fp_irpf21,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_irpf21a,l10n_es_extra_reports.sii_reg_key_11,l10n_es_extra_reports.sii_reg_key_p12,,
fp_ispn,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_rnrisp,l10n_es_extra_reports.sii_reg_key_01,l10n_es_extra_reports.sii_reg_key_p01,,
fp_dua,,,account_tax_template_p_iva4_bi,account_tax_template_p_iva4_ibi_group
,,,account_tax_template_p_iva10_bi,account_tax_template_p_iva10_ibi_group
,,,account_tax_template_p_iva21_bi,account_tax_template_p_iva21_ibi_group
